Source,Target,Type,Id,Label,timeset,Weight
n33,n64,Directed,450,,,2
n34,n5,Directed,451,,,2
n34,n14,Directed,452,,,2
n34,n15,Directed,453,,,2
n34,n25,Directed,454,,,2
n34,n28,Directed,455,,,2
n34,n29,Directed,456,,,2
n34,n30,Directed,457,,,2
n34,n31,Directed,458,,,2
n34,n32,Directed,459,,,2
n34,n33,Directed,460,,,2
n34,n35,Directed,461,,,2
n34,n37,Directed,462,,,2
n34,n39,Directed,463,,,2
n34,n40,Directed,464,,,2
n34,n41,Directed,465,,,2
n34,n42,Directed,466,,,2
n34,n43,Directed,467,,,2
n34,n44,Directed,468,,,2
n34,n45,Directed,469,,,2
n34,n51,Directed,470,,,2
n34,n64,Directed,471,,,2
n35,n5,Directed,472,,,2
n35,n15,Directed,473,,,2
n35,n25,Directed,474,,,2
n35,n28,Directed,475,,,2
n35,n29,Directed,476,,,2
n35,n30,Directed,477,,,2
n35,n31,Directed,478,,,2
n35,n32,Directed,479,,,2
n35,n33,Directed,480,,,2
n35,n34,Directed,481,,,2
n35,n39,Directed,482,,,2
n35,n40,Directed,483,,,2
n35,n41,Directed,484,,,2
n35,n42,Directed,485,,,2
n35,n43,Directed,486,,,2
n35,n44,Directed,487,,,2
n35,n45,Directed,488,,,2
n35,n51,Directed,489,,,2
n35,n64,Directed,490,,,2
n36,n2,Directed,491,,,2
n36,n3,Directed,492,,,2
n36,n4,Directed,493,,,2
n36,n14,Directed,494,,,2
n36,n15,Directed,495,,,2
n36,n25,Directed,496,,,2
n36,n28,Directed,497,,,2
n36,n29,Directed,498,,,2
n36,n30,Directed,499,,,2
n36,n31,Directed,500,,,2
n36,n32,Directed,501,,,2
n36,n33,Directed,502,,,2
n36,n34,Directed,503,,,2
n36,n35,Directed,504,,,2
n36,n37,Directed,505,,,2
n36,n40,Directed,506,,,2
n36,n41,Directed,507,,,2
n36,n42,Directed,508,,,2
n36,n43,Directed,509,,,2
n36,n44,Directed,510,,,2
n36,n45,Directed,511,,,2
n36,n51,Directed,512,,,2
n36,n64,Directed,513,,,2
n37,n4,Directed,514,,,2
n37,n5,Directed,515,,,2
n37,n6,Directed,516,,,2
n37,n11,Directed,517,,,2
n37,n12,Directed,518,,,2
n37,n14,Directed,519,,,2
n37,n15,Directed,520,,,2
n37,n26,Directed,521,,,2
n37,n30,Directed,522,,,2
n37,n31,Directed,523,,,2
n37,n32,Directed,524,,,2
n37,n33,Directed,525,,,2
n37,n34,Directed,526,,,2
n37,n36,Directed,527,,,2
n37,n38,Directed,528,,,2
n37,n39,Directed,529,,,2
n37,n40,Directed,530,,,2
n37,n41,Directed,531,,,2
n37,n42,Directed,532,,,2
n37,n43,Directed,533,,,2
n37,n44,Directed,534,,,2
n37,n50,Directed,535,,,2
n37,n51,Directed,536,,,2
n37,n52,Directed,537,,,2
n37,n53,Directed,538,,,2
n37,n56,Directed,539,,,2
n37,n58,Directed,540,,,2
n37,n59,Directed,541,,,2
n37,n62,Directed,542,,,2
n37,n64,Directed,543,,,2
n38,n15,Directed,544,,,2
n38,n32,Directed,545,,,2
n38,n33,Directed,546,,,2
n38,n53,Directed,547,,,2
n39,n5,Directed,548,,,2
n39,n14,Directed,549,,,2
n39,n15,Directed,550,,,2
n39,n28,Directed,551,,,2
n39,n29,Directed,552,,,2
n39,n30,Directed,553,,,2
n39,n31,Directed,554,,,2
n39,n32,Directed,555,,,2
n39,n33,Directed,556,,,2
n39,n34,Directed,557,,,2
n39,n35,Directed,558,,,2
n39,n37,Directed,559,,,2
n39,n40,Directed,560,,,2
n39,n41,Directed,561,,,2
n39,n43,Directed,562,,,2
n39,n44,Directed,563,,,2
n39,n45,Directed,564,,,2
n39,n50,Directed,565,,,2
n39,n51,Directed,566,,,2
n39,n52,Directed,567,,,2
n39,n54,Directed,568,,,2
n40,n2,Directed,569,,,2
n40,n5,Directed,570,,,2
n40,n9,Directed,571,,,2
n40,n10,Directed,572,,,2
n40,n11,Directed,573,,,2
n40,n12,Directed,574,,,2
n40,n14,Directed,575,,,2
n40,n15,Directed,576,,,2
n40,n16,Directed,577,,,2
n40,n25,Directed,578,,,2
n40,n28,Directed,579,,,2
n40,n29,Directed,580,,,2
n40,n30,Directed,581,,,2
n40,n31,Directed,582,,,2
n40,n32,Directed,583,,,2
